amplitude,period_linear,period_nonlinear
1.0,0.0596089552238806,0.05873529411764705
4.5,0.0596089552238806,0.04715602836879433
8.0,0.0596089552238806,0.035206349206349206
11.5,0.0596089552238806,0.027115332428765265
15.0,0.0596089552238806,0.021766884531590418
18.5,0.0596089552238806,0.018081447963800904
22.0,0.0596089552238806,0.015422839506172839
25.5,0.0596089552238806,0.013425117528542647
29.0,0.0596089552238806,0.011877005347593582
32.5,0.0596089552238806,0.010642705005324814
36.0,0.0596089552238806,0.009637415621986499
39.5,0.0596089552238806,0.008803610744165568
43.0,0.0596089552238806,0.008101701782820098
46.5,0.0596089552238806,0.007502439024390244
50.0,0.0596089552238806,0.0069853249475890986
