theta0,period,T_theory,energy_drift
1.0,0.05916023738872404,0.0596075295947766,1.1898412355394506e-23
4.5,0.05917507418397626,0.0596075295947766,8.775928078740208e-25
8.0,0.05917804154302672,0.0596075295947766,1.4717074522898124e-25
11.5,0.0591839762611276,0.0596075295947766,1.384059513112022e-25
15.0,0.0591839762611276,0.0596075295947766,5.496427443384479e-26
18.5,0.05918100890207715,0.0596075295947766,2.5702296445937854e-26
22.0,0.05919287833827893,0.0596075295947766,2.079280177292661e-26
25.5,0.05918100890207715,0.0596075295947766,3.9637840770706987e-26
29.0,0.05917507418397626,0.0596075295947766,2.8805258544174725e-26
32.5,0.05918694362017805,0.0596075295947766,1.6543416706365775e-26
36.0,0.0591839762611276,0.0596075295947766,1.0409820686586843e-26
39.5,0.05920178041543027,0.0596075295947766,1.2888276864756014e-26
43.0,0.05919287833827893,0.0596075295947766,7.915200526760265e-27
46.5,0.0591839762611276,0.0596075295947766,6.1315639857137894e-27
50.0,0.05918694362017805,0.0596075295947766,8.250508990379399e-27
